key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
Saw	s4at2	śaṭ	śaṭ	fiction	24741	341-1	SCH-fiction-3147_cases.xml	0
SatapattrI	s4atapattri1	śatapattrī	śatapattrī	fiction	24760	341-2	SCH-fiction-3147_cases.xml	0
SataparvA	s4ataparva1	śataparvā	śataparvā	fiction	24762	341-2	SCH-fiction-3147_cases.xml	0
SataparvikA	s4ataparvika1	śataparvikā	śataparvikā	fiction	24763	341-2	SCH-fiction-3147_cases.xml	0
SatamUlI	s4atamu1li1	śatamūlī	śatamūlī	fiction	24771	341-2	SCH-fiction-3147_cases.xml	0
SataveDin	s4atavedhin	śatavedhin	śatavedhin	fiction	24774	341-2	SCH-fiction-3147_cases.xml	0
SatANga	s4ata1n3ga	śatāṅga	śatānga	fiction	24780	341-3	SCH-fiction-3147_cases.xml	0
SatAnanda	S4ata1nanda	śatānanda	śatānanda	fiction	24781	341-3	SCH-fiction-3147_cases.xml	0
SatvarI	s4atvari1	śatvarī	śatvarī	fiction	24786	341-3	SCH-fiction-3147_cases.xml	0
Sabarakanda	s4abarakanda	śabarakanda	śabarakanda	fiction	24796	341-3	SCH-fiction-3147_cases.xml	0
Sabdagraha	s4abdagraha	śabdagraha	śabdagraha	fiction	24803	341-3	SCH-fiction-3147_cases.xml	0
SabdaprAS	s4abdapra1s4	śabdaprāś	śabdaprāś	fiction	24804	341-3	SCH-fiction-3147_cases.xml	0
SamanasTala	s4amanasthala	śamanasthala	śamanasthala	fiction	24812	342-1	SCH-fiction-3147_cases.xml	0
SampA	s4ampa1	śampā	śampā	fiction	24815	342-1	SCH-fiction-3147_cases.xml	0
SambalI	s4ambali1	śambalī	śambalī	fiction	24823	342-1	SCH-fiction-3147_cases.xml	0
SamBu	s4ambhu	śambhu	śambhu	fiction	24825	342-1	SCH-fiction-3147_cases.xml	0
SayanAsanavArika	s4ayana1sanava1rika	śayanāsanavārika	śayanāsanavārika	fiction	24829	342-1	SCH-fiction-3147_cases.xml	0
SayAlu	s4aya1lu	śayālu	śayālu	fiction	24831	342-1	SCH-fiction-3147_cases.xml	0
SarapuNKA	s4arapun3kha1	śarapuṅkhā	śarapunkhā	fiction	24838	342-2	SCH-fiction-3147_cases.xml	0
SaraBU	s4arabhu1	śarabhū	śarabhū	fiction	24844	342-2	SCH-fiction-3147_cases.xml	0
Salala	s4alala	śalala	śalala	fiction	24865	342-3	SCH-fiction-3147_cases.xml	0
SalAka	s4ala1ka	śalāka	śalāka	fiction	24867	342-3	SCH-fiction-3147_cases.xml	0
SaSaplutaka	s4as4aplutaka	śaśaplutaka	śaśaplutaka	fiction	24890	343-1	SCH-fiction-3147_cases.xml	0
SaSarajas	s4as4arajas	śaśarajas	śaśarajas	fiction	24892	343-1	SCH-fiction-3147_cases.xml	0
SaSAdana	s4as4a1dana	śaśādana	śaśādana	fiction	24901	343-1	SCH-fiction-3147_cases.xml	0
SANKika	s4a1n3khika	śāṅkhika	śānkhika	fiction	24938	343-3	SCH-fiction-3147_cases.xml	0
SAtrava	s4a1trava	śātrava	śātrava	fiction	24947	343-3	SCH-fiction-3147_cases.xml	0
SAbara	s4a1bara	śābara	śābara	fiction	24950	343-3	SCH-fiction-3147_cases.xml	0
SAradika	s4a1radika	śāradika	śāradika	fiction	24959	343-3	SCH-fiction-3147_cases.xml	0
SArdUla	s4a1rdu1la	śārdūla	śārdūla	fiction	24967	344-1	SCH-fiction-3147_cases.xml	0
SAlIya	s4a1li1ya	śālīya	śālīya	fiction	24977	344-1	SCH-fiction-3147_cases.xml	0
